scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/python-web-server-performance.csv.ram_usage,python-web-server-performance.csv,1.8490234393368126
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.c,golang-web-server-performance.csv,0.18274201564102982
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/amf-performance.csv.time,amf-performance.csv,0.17661245967241043
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,0.1754057513824506
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/amf-performance.csv.ram_usage,amf-performance.csv,0.12014159765532853
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/amf-performance.csv.cpu_usage,amf-performance.csv,0.04570846881390196
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/amf-performance.csv.dt.dayofweek,amf-performance.csv.dt,0.004571027447546072
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.time,rabbitmq-performance.csv,0.0
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/python-web-server-performance.csv.cpu_usage,python-web-server-performance.csv,0.0
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/python-web-server-performance.csv.c,python-web-server-performance.csv,0.0
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/amf-performance.csv.dt,amf-performance.csv,0.0
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/amf-performance.csv.dt.day,amf-performance.csv.dt,0.0
scenarioN_target_n,AutoFeatPlus,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.ram_usage,rabbitmq-performance.csv,205.62965689642965
